ArtistName,ArtistNationality,ArtistBornCountry,ArtistBornYear,ArtistDeadYear
Gershen-Newark,,,,
Leopoldo Menegatti,Italian,,,
Giuseppe Cappelli,Italian,,,
Kent Macintosh,American,,,
Rudolf Moethe,German,,,
Fratelli Brambilla,,,,
Louis J. Zerbee,American,,,
Koch Creations,American,,,
Lynbrook,,,,
Beryl Marton,American,,,
Eliot Noyes Industrial Design,American,,,
Allen Hawthorne,,,,
J. & J. Kohn,,,,
Vienna,,,,
Tetsoro Oya,Japanese,,,
Charles W. Carlson,American,,,
Gits Molding Corp.,American,,,
Monsieur Thiebault,French,,,
Baum-Mercier,,,,
Erie,,,,
Gisela Clemens,German,,,
Sargent & Co.,,,,
Cocco,,,,
A. Alcorn,American,,,
Murray Hill,,,,
Elizabeth McLennan,Canadian,,,
IBM,,,,
East Fishkill,,,,
IMEC,American,,,
Milpitas,,,,
Synaptics Incorporated,American,,,
San Jose,,,,
VLSI Technology,American,,,
Palo Alto,,,,
Tri-State Plastic Molding Co.,American,,,
Henderson,,,,
Neil S. Waterman,American,,,
Plas-tex Corporation,,,,
Owo,German,,,
Stanley Home Products,,,,
Easthampton,,,,
Pace Products,American,,,
Nelson Ronsheim,American,,,
Patricia Smith,American,,,
Willa Percival,American,,,
Hortense B. Isenberg,American,,,
Mary Rodney,American,,,
The Richter & Phillips Co.,,,,
Cincinatti,,,,
John H. Lickert,American,,,
David Swedlow,American,,,
Seneca Glass Co.,,,,
Guilford Art Company,,,,
Charles J. Mauro,American,,,
Michael Cohen,American,,,
Pulos Design Associates,American,,,
Richard Lowrie,American,,,
Concept Inc.,,,,
St. Petersburg,,,,
FL,,,,
Leo Collins,American,,,
Joseph Schlinger,American,,,
Bonniers International,,,,
Plastics,,,,
Floyd Fitzpatrick,American,,,
Frimu Company,,,,
G.P.M. Company,,,,
Gruppo DAM (Designer Associati Milano),Italian,,,
Studio Gruppo 14,Italian,,,
Benjamin Chia,,,,
Detroit,,,,
MI,,,,
Lorraine Metal Mfg. Co.,,,,
Lynn Sexton,American,,,
Dieter Wackerlin,Swiss,,,
Unknown Artist,Nationality Unknown,,,
James H. Dougherty,Nationality unknown,,,
Fred J. Hoertz,Nationality unknown,,,
William Dodge Stevens,,,,
C. B. Falls,American,,,
Bureau,American,,,
Townsend,Nationality unknown,,,
Carl Baker,American,,,
Peter Ray,British,,,
Hannes Neuner,German,,,
Tamotsu Arikawa,Japanese,,,
G. Massiot,Nationality unknown,,,
Jean Vylen,Nationality unknown,,,
Album-miscellaneous,Various,,,
David Wilcox,American,,,
Donia Nachshen,British,,,
Eugene Gise,American,,,
Natacha Rambova,,,,
Martin Crampton,Nationality unknown,,,
Pat Keely,British,,,
Jouineau Bourduge,French,,,
Erich Ludwig Stahl,German,,,
Koji Kato,Japanese,,,
Erno Metzner,German,,,
Peter Kunz,Swiss,,,
Nathan Gluck,Nationality unknown,,,
Barnett Freedman,British,,,
Maurice Man,British,,,
V. Simon,Russian,,,
I. Stepanov,Russian,,,
Hanns Herkendell,German,,,
Boris Prusakov,Russian,,,
Max Lutzbacher,Swiss,,,
M. H,Nationality unknown,,,
Bruce Angrave,British,,,
Chicago School of Design,,,,
J. S. Anderson,British,,,
Artko,,,,
Art Bevacqua,Nationality unknown,,,
Cudsen,British,,,
George Morris,British,1940s,,
Lynch,American,,,
F. Strothmann,American,,,
Gil Spear,American,,,
Green,American,,,
Carpenter,British,,,
Haskell Coffin,American,,,
Hibner,Polish,,,
Ellsworth Young,American,,,
Eckersley Lombers,British,,,
A. Andreas,French,,,
Arribas,Spanish,,,
Herry Perry,British,,,
Bouillon,French,,,
C. H. Johansen,American,,,
Boni,Spanish,,,
W. G. Sesser,American,,,
Boutrou,French,,,
Art Goodman,,,,
J. Briones,Spanish,,,
Burton Rice,American,,,
Cause,French,,,
James Valkus,American,,,
Chambers,American,,,
Kukryniksy,Russian,,,
Mikhail Kuprianov,Russian,,,
C. Tereshkovitch,,,,
André Des Gachons,French,,,
Jose Espert,Spanish,,,
Beggarstaffs (James Pryde,,,,
Scottish 1866-1941 & William Nicholson,,,,
British 1872-1949),,,,
Melendreras,Spanish,,,
Brumhoff,Nationality unknown,,,
Oliver,Spanish,,,
Miguel,Spanish,,,
Juan Parrilla,Spanish,,,
Unkn Graph Art/des - British,British,,,
Arsène Herbinier,French,,,
Charles Lapierre,French,,,
Mourlot,,,,
Lebegue,French,,,
Lobel,French,,,
Alphonse Mucha,Czech,Austria,,
F. Maglin,French,,,
M. A. Miles,Nationality unknown,,,
Milton Wynne,American,,,
Moline,Nationality unknown,,,
Noury,Czech,,,
Rocher,French,,,
Natacha Carlu,Nationality unknown,,,
Marcel Kunz,Swiss,,,
Peter Moser,,,,
Ladislav Sutnar,American,Republic,,
Ide O'Keeffe,British,,,
Zervudaki,Nationality unknown,,,
Steiner,Swiss,,,
John Cline,American,,,
Dahlgren,American,,,
Gene Walther,Swiss,,,
Philibert-Paul Charbonnier,French,,,
G. Stanislaus Brien,British,Poland,,
Rudolf Bircher,Swiss,,,
Jima,American,,,
Mike Salisbury,American,,,
Claudio Mattioli,Nationality unknown,,,
Klara,British,,,
G. R. Morris,British,,,
Rapier,British,,,
Jean (Hans) Arp,French,(Alsace,,
Federico,American,,,
Charles Jongejans,Dutch,,,
Lorenzo Goñi,Spanish,,,
Riba Rovira,Spanish,,,
Oliva Perotes,Spanish,,,
Jaume SOLÁ Terrades,Spanish,,,
J. A. Boiffard Tchimoukow,French,,,
Royal Society for the Prevention of Accidents,,,,
H.V.,Catalan,,,
Xirinin,Spanish,,,
Tontsere,Spanish,,,
Arteche,Spanish,,,
Werner Zyrd,German,,,
Pere Catala Pic,Spanish,,,
A. Bisquert,Spanish,,,
Jesús Lozano,Spanish,,,
Augusto,Spanish,unknown,,
William Bonnell,American,,,
J. P. Junot,French,,,
Reeves,British,,,
Norsaki Yokosuka,Japanese,,,
Pedrero,Spanish,,,
Mauricio Amster,Spanish,,,
Various Artists,Nationality unknown,,,
Ward and Saks Co.,,,,
Nathan I. Felde,American,,,
Herbert Migdoll,American,,,
Todd Piper-Hauswirth,,,,
Atelier de Creation Graphique,French,,,
Tsuguya Inone,Japanese,,,
Toshifumi Kawahara,Japanese,,,
Akio Okumura,Japanese,,,
Hans Hillmann,German,Poland,,
Lauri Rosenwald,American,,,
Shinro Otake,Japanese,,,
Franz Fassler,Swiss,,,
Gerhard Forster,Italian,,,
Ugo Mulas,,,,
Helge Refn,Danish,,,
Netzler,Swedish,,,
Willi Baum,Swiss,,,
Orrby,Swedish,,,
Thoni Bern,Swiss,,,
Anita Ventura,American,,,
Karl Edelman,American,,,
G. Robz,Russian,,,
Joseph Charles Parker,born 1924,,,
Martin Glanzman,American,,,
Peter Hatch,British,,,
V. Pshenichnikov,Russian,,,
Liebowitz,American,,,
Siegriest,American,,,
Lortz,German,,,
Orell Füssli,Swiss,,,
Heinrich Steiuer,,,,
Xomob(?),Russian,,,
Fritz Girardin,Swiss,,,
Weider,,,,
Kuron - Gogol,German,,,
Carel Blazer,,,,
J. Jacquelin,French,,,
John McVicker,American,,,
Pierre Fix-Masseau,French,,,
Marfurt,Nationality unknown,,,
William Fenton,British,,,
Graphicteam BDG,German,,,
M. Hafelmaier,Swiss,,,
Popp-Kircheim,Nationality unknown,,,
Pizzi & Pizio,Italian,,,
Milan-Rome,,,,
Reiss,British,,,
Slechinsky,German,,,
Walter Cyliax,. 1886–1966,,,
Franklin Webber,American,,,
Judy Stern,,,,
Huller,Swiss,,,
A. Wagner,German,,,
Rossmann,Nationality unknown,,,
Weigl-Waltl,German,,,
Erling Ericsson,Swedish,,,
Otto Struck,German,,,
Morton Goldsholl,Nationality unknown,,,
F. H. Wenzel,Nationality unknown,,,
John Reynolds,British,,,
Lehner & Mader,,,,
Edwin Calligan,British,,,
W. J. Steegles,British,,,
E. Hawthorne,British,,,
Clifford and Rosemary Ellis,British,,,
Martin Diethelm,Swiss,,,
Roswitha Marhold,German,,,
Unkn Graph Art/des - German,German,,,
Victor Fitzgerald,British,,,
Thompson,British,,,
Clement Cowles,British,,,
Walter Pfeiffer,,,,
Rowe,British,,,
Wolfsberg,German,,,
Fred Taylor,,,,
Wasserman,Swiss,,,
Marc Ratliff,American,,,
A. Stuart-Hill,British,,,
Denis Constanduros,Nationality unknown,,,
A. Gisiger,Swiss,,,
C. Mann,British,,,
Ernst Langloh,German,,,
Wilhelm Langloh,German,,,
J. Van Der Wal,Nationality unknown,,,
Ronald Dickens,British,,,
S. Watson,British,,,
Henry Rushburg,British,,,
The Baynard Press,,,,
J.D.H. Harvey,British,,,
Charles Zimmerman,born 1942,,,
Tekening Lucerbert,Dutch,,,
Studio,British,,,
U. Di Lazzaro,Italian,,,
Edwin Vollebergh,,,,
Pietra Jansen,,,,
Venna,Italian,,,
Hans Bockting,,,,
Wilhelm Wenk,German,,,
R. Szayoo,,,,
Rigobaldi,Italian,,,
Alexander Dovzhenko,Russian,province,,
Krohl/Offenberg,Nationality unknown,,,
Prazsky,Czech,,,
Burkhard,Swiss,,,
Peter Teubner,American,,,
Pellegrini,Swiss,,,
Wagula,Yugoslav,,,
Budry,Greek,,,
R. L. Haeberle,,,,
Jules Guran,Nationality unknown,,,
Elena Serrano,Cuban,,,
Teratani Keijiro,Japanese,,,
Blessum,Nationality unknown,,,
Eva Schoeler,,,,
Tägtström,Swedish,,,
Alfred Keane Moe,American,,,
Atelier Müller-Brockmann,,,,
A. Ruckstuhl,Nationality unknown,,,
Atelier VNC,,,,
Stockmarr,Finnish,,,
Kafemann,Nationality unknown,,,
Mann,Polish,,,
Unkn Graph Art/des - Russian,Russian,,,
Silicon Systems,American,,,
Trix Wetter,Swiss,,,
H. B. Puchingen,Austrian,,,
Weisgerber,Austrian,,,
F. Marriott Watson,British,,,
J. Bouski,Polish,,,
Petronio,Nationality unknown,,,
Fussli,Swiss,,,
Spilling,German,,,
Willy Szesztokat,,,,
Geschäftsstelle des Bürger-Rates von Groß-Berlin,,,,
Mick Pilcher,British,,,
Emile Clouet,French,,,
K. Hinterberger,German,,,
Peter Wollbrandt,,,,
Wilhelm Heuschen,,,,
Henny Cahn,Dutch,,,
Toni Del Renzio,Nationality unknown,,,
Carol,Cuban,,,
Hille,Nationality unknown,,,
Ant Kurvers,Dutch,,,
Werner Nöfer,German,,,
Atelier Eggers,French,,,
W. van Stek,Dutch,,,
Francisco Dosamentes,Mexican,,,
Robert M. Jones,Nationality unknown,,,
Carol Lipper,American,,,
Kunsthandlung Würthle & Sohn,,,,
Carlos Soler,Argentine,,,
L. Jean Droit,French,,,
Charles White III,American,,,
Ivan Picelj,Yugoslav (now Croatia,,,
Conrad,American,,,
Piet van der Have,Dutch,,,
Bill Henry,American,,,
Joel Katz,Nationality unknown,,,
Keizo Matsui,Japanese,,,
Paul Ubac,,,,
Woody Pirtle,American,,,
Terence Westmacott,Nationality unknown,,,
Jim Ward,American,,,
Stanley Silver,American,,,
Eleanore Laine,American,,,
Walter Seifert,German,,,
Wladyslaw Strzeminski,Polish,Belarus,,
Z. Robaszek,Nationality unknown,,,
R. Schwarzkopf,Nationality unknown,,,
Michael P. Bosniak,American,,,
Howard York,,,,
Giovanni Patrone,Italian,,,
John H. Myers,American,,,
C. Carleton,American,,,
Pehr-Olof Nystrom,Finish,,,
Jöran Lindvall,Swedish,,,
Sture Balgård,,,,
Eva Björklund,,,,
Leonid A. Voronov,Russian,,,
Robert Gair Company,American,,,
J. L. Grosse,American,,,
Guenther,,,,
C. Haimovitz,American,,,
L. Harris,,,,
Kein,American,,,
Jonas Lie,American,,,
Achille Mauzan,Italian,,,
A.A.P.,American,,,
Herman Roeg,American,,,
S. Scott,French,,,
Schneck,American,,,
John E. Sheridan,American,,,
Stephany,French,,,
G. F. Underwood,American,,,
M. Waddell,American,,,
George Mather Richards,,,,
Harry Gordon,,,,
Aleksei Remizov,,,,
Lyonel Feininger,,,,
Russian Book Collection,,,,
F.P.K.,,,,
Vasily Kandinsky,. 1886–1966,,,
Iliazd (Il'ia Zdanevich),,,,
Various Authors,,,,
Gilbert & George,British,,,
Franz Marc,,,,
Vladimir Burliuk,1886–1917,,,
Mikhail Larionov,,,,
P. Bakharev,Russian,,,
Marianna Erlikh,,,,
Nina Kul'bina,,,,
Olga Rozanova,,,,
Mariia Siniakova,,,,
Komar and Melamid,American,,,
Miguel Piñero,American,,,
Marguerite van Cook,American,,,
Vincent Gagliostro,American,,,
Martin Wong,American,,,
Will Sales,,,,
Sabrina Jones,,,,
James Romberger,,,,
Neighborhood News,American,,,
Eduardo Galeano,American,,,
Lady Pink,American,,,
Missing Foundation,American,,,
Emily Carter,American,,,
Vladimir Tatlin,,,,
Nikolai Rogovin,,,,
Sophie Taeuber-Arp,. 1886–1966,,,
G. L. Kuz'min,,,,
Vladimir Mayakovsky,,,,
Lev Shekhtel [Lev Zhegin],,,,
Sergei Podgaevskii,,,,
Pavel Filonov,,,,
Iosif Shkol'nik,,,,
Mei-mei Berssenbrugge,born 1947,,,
Aleksandr Shevchenko,,,,
Illarion Skuie,,,,
Anonymous Child,,,,
Elena Guro,,,,
Melissa Gurdus,American,,,
Jim Nichols,Nationality unknown,,,
Michael Goldberg,American,1924-2007,,
Heinz Mack,,,,
Aleksei Kruchenykh,,,,
Il'ia Rogovin,,,,
Beno Gordeziani,,,,
Il'ia Zdanevich,,,,
Mikhail Kalashnikov,Nationality Unknown,,,
Sigizmund Valishevskii,,,,
Kirill Zdanevich,,,,
Nikolai Chernyshev,,,,
Sergei Gerasimov,,,,
Ekaterina Turova,,,,
Gottfried Graf,,,,
Vasyl' Iermilov,,,,
Aleksandr Labas,,,,
Naum Granovskii,,,,
Vera Ermolaeva,Russian,,,
Viktor Pal'mov,,,,
Petr Miturich,Russian,,,
Iosef Chaikov,,,,
Anonymous Authors,,,,
Unknown Mexican Artist,Mexican,,,
David Bergelson,,,,
Dvorye Chorol,,,,
Ben-Zion Tsukherman,,,,
Hella Fischer-Thorer,Nationality unknown,,,
Solomon Iudovin,,,,
Samuil Adlivankin,,,,
Mikhail Plaksin,,,,
Khabias [pseudonym Of Nina Komarova],,,,
Aleksei Gan,,,,
Antonina Sofronova,,,,
Boris Zemenkov,,,,
Liubov' Kozintseva,,,,
Anton Lavinskii,,,,
Oswald Michel,German,,,
Hans J. Zeidler,German,,,
Reiner Schwarz,German,,,
Bernhard Jaeger,German,,,
Walter Zimbrich,German,,,
Wolfgang Schlick,German,,,
Hans Gött,,,,
René Beeh,,,,
Renatus Kuno,,,,
Grigorii Bershadskii,,,,
Elena Bedumovaia,Russian,,,
Pavel Kuznetsov,,,,
Vladimir Kozlinskii,,,,
Sergei Makletsov,,,,
Jean Pougny (Ivan Puni),,,,
Natalia Goncharova,,,,
P. S. Chichkanov,,,,
Mikhail Gerasimov,,,,
E. S. Samorodov,,,,
V. I. Ter-Pogosov,,,,
Unknown Artists,,,,
Gustav Klutsis,,,,
Marko Epshtein,,,,
Grigorii Roze,,,,
Jules Germain,French,,,
André Chapon,French,,,
Jean-Louis Boussingault,French,1883-1943,,
Vadym Meller,,,,
Ivan Leonidov,,,,
Evgenii Nekrasov,,,,
Aleksandr Deineka,,,,
M. Dabrokovski,,,,
V. Liushin,,,,
Dmitrii Stakhievich Moor,,,,
A. Karra,,,,
Nikolai Sedel'nikov,,,,
Vitalii Lavrov,,,,
Nikolai Prusakov,,,,
Vladimir Stenberg,,,,
Mikhail Maslianenko,,,,
N. Nekrasov,,,,
Jean L'Anselme,French,1919-2011,,
Moisei Levin,,,,
Albert E. Yersin,Swiss,,,
Sylvain Durand,French,,,
Nikolai Troshin,,,,
Sergei Sen'kin,,,,
Solomon Telingater,,,,
Valentina Kulagina-Klutsis,,,,
B. F. Ford,American,,,
Daniel Rohn,American,,,
Kenneth Fritch,American,,,
Leonard Dryansky,American,,,
Jerome Schueger,American,,,
Richard Lazzaro,American,,,
Antoinette Araco,American,,,
Georgii Echeistov,,,,
N. Danylov,,,,
Leonid Zusman,,,,
Mykhailo Semenko,,,,
Oleh Shymkov,,,,
V. Vorus'kii,,,,
Aleksei Chicherin,Russian,,,
Nikolai Kupreianov,,,,
Kornelii Zelinskii,,,,
Roger Chancel,French,,,
Henke Meller,,,,
Boris Naumov,,,,
Bor. R.,,,,
Julio Palazuelos,Chilean,,,
Rudolf Grossmann,,,,
Petr Galadzhev,,,,
Olga Deneiko,,,,
Julio de Diego,Nationality unknown,,,
Enrico Donati,. 1886–1966,,,
Elisabeth van Damme,Nationality unknown,,,
I. Sunderland,,,,
Vladimir Izenberg,,,,
K. A. Aivazovskii,Russian,,,
Adol'f Strakhov,,,,
Volodymyr Diakov,,,,
Aleksandr Gladkov,,,,
Borys Kosariev,,,,
Mane-Katz,,,,
Miankal',,,,
Mykola Myshchenko,,,,
Georgii Tsapok,,,,
Boeslav Tsybys,,,,
Natal'ia Nagorskaia,,,,
Luis Vargas,Nationality unknown,,,
Josef Hecht,Polish,,,
Nikolai Il'in,,,,
N. Spirov,,,,
Jean Miotte,French,,,
Anatol' Petryts'kyi,,,,
Valentin Kataev,,,,
El Lissitzky,,,,
Collective of Masters of Analytical Art-Pavel Filonov’s School,,,,
Elena Bortsova,,,,
Tat’iana Glebova,,,,
Nina Ivanova,,,,
Efraim Lesov,,,,
Mikhail Makarov,,,,
