Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Death by the Maenads (Tod durch die Mänaden) from the portfolio Orpheus: 10 Woodcuts on the Verses of Ovid (10 Holzschnitte zu den Versen des Ovid),(194,Woodcut,30.5,33.3,null,Gift of Mr. and Mrs. Kurt Delbanco,Print,Prints & Illustrated Books,1961,Y,60592
Nelly I,(192,Etching,19.4,14.3,null,Mrs. Bertram Smith Fund,Print,Prints & Illustrated Books,1957,Y,60623
Singing Orpheus (Singender Orpheus) from the portfolio Orpheus: 10 Woodcuts on the Verses of Ovid (10 Holzschnitte zu den Versen des Ovid),(194,Woodcut,28.3,15.2,null,Gift of Mr. and Mrs. Kurt Delbanco,Print,Prints & Illustrated Books,1961,Y,60626
Emma L. |  Rivière,(191,Drypoint and etching,17.9,12.9,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60659
The Gate (Das Tor) from the portfolio Die Schaffenden |  vol. 1 |  no. 1,(191,Etching and drypoint,27.2,19.9,null,Gift of Mrs. Donald B. Straus,Print,Prints & Illustrated Books,1959,Y,60665
4 Lifestyles (4 Lebensarten),(197,Portfolio of four etching and aquatints,null,null,null,Gift of Thomas Bergen,Print,Prints & Illustrated Books,1979,Y,60673
On the Beach |  II (Three Nudes) [Sur la plage. II (Trois nus)] from the series Four Lithographs (Quatre Lithographies),(Mar,Lithograph,8.9,19,null,Gift of Mrs. Saidie A. May,Print,Prints & Illustrated Books,1934,Y,60676
The Wrestlers (Les Lutteurs) from the series Four Lithographs (Quatre Lithographies),(Mar,Lithograph,10.6,19.5,null,Gift of Mrs. Saidie A. May,Print,Prints & Illustrated Books,1934,Y,60698
SELF PORTRAIT,(196,Lithograph |  printed in color,73,52.8,null,John B. Turner Fund,Print,Prints & Illustrated Books,1967,N,60713
The Horseman from Four Lithographs,Marc,Lithograph,19.2,26,null,Gift of Mrs. Saidie A. May,Print,Prints & Illustrated Books,1934,Y,60754
.a Two Dancers (Zwei Tanzende) .b Conversation (Unterredung) .c Conversation |   (Unterredung) [partial stencil],(c.,.a Linoleum cut .b Stencil print .c Stencil with green gouache,28.1,30.3,null,Matthew T. Mellon Foundation Fund,Print,Prints & Illustrated Books,1962,Y,60767
Bastos,(197,Lithograph and photolithograph,158.2,101.2,null,The Riva Castleman Endowment Fund and Gift of the Dedalus Foundation,Print,Prints & Illustrated Books,1995,Y,60773
Demetrius Galanis Three-Quarters View (Demetrius Galanis de trois-quarts),(191,Drypoint and etching,9,6.5,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60800
Samurai II,(197,Lithograph,null,null,null,The Riva Castleman Endowment Fund and Gift of the Dedalus Foundation,Print,Prints & Illustrated Books,1995,Y,60816
D. Galanis |  Peasant (D. Galanis |  peasant),(191,Etching and drypoint,14,9.9,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60822
Loulou |  Distracted (Loulou |  le regard absent),(191,Etching,17.9,12.7,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60881
Mink |  Frontal |  with Elaborate Coiffure (Mink von vorn mit grosser Frisur),13 |,Drypoint,16.9,13.4,null,Gift of Victor S. Riesenfeld,Print,Prints & Illustrated Books,1955,Y,60884
Schlemihl Meets His Shadow (Schlemihls Begegnung mit dem Schatten),(191,Woodcut with oil additions,null,null,null,Gift of Mrs. Heinz Schultz,Print,Prints & Illustrated Books,1957,Y,60885
Loulou |  Back View (Loulou |  figure de dos),(191,Etching,17.9,12.8,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60900
Street II |  Female Head (Strasse II |  Frauenkopf),16-1,Drypoint,8.6,7.6,null,Purchase (by exchange),Print,Prints & Illustrated Books,1955,Y,60903
SELF PORTRAIT,(187,Lithograph |  printed in black,22.8,18.5,null,Gift of Mrs. Cornelius N. Bliss,Print,Prints & Illustrated Books,1936,N,60918
Half-Length Nude (Nu à demi allongé),(191,Drypoint,14.5,10,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60920
1. Woman with Fish (Frau mit Fisch) 2. Composition (Komposition) from the illustrated book Max Beckmann,(194,Two lithographs,error,error,error,Curt Valentin Bequest,Print,Prints & Illustrated Books,1956,Y,60924
Portrait of Fritz P./Self-Portrait with Beard (Bildnis Fritz P./Selbstbildnis mit Bart),(192,Drypoint,27.6,21.9,null,A. Conger Goodyear Fund (by exchange),Print,Prints & Illustrated Books,1955,Y,60944
Morgue (Totenhaus),(192,Woodcut,37.5,47.5,null,Gift of Abby Aldrich Rockefeller (by exchange),Print,Prints & Illustrated Books,1956,Y,60945
Four Nudes |  Two Heads (Quatre nus |  deux têtes),(190,Etching and drypoint,12.1,7.9,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60962
City View with Eiserner Steg (Stadtansicht mit Eisernem Steg),(192,Drypoint,21.7,27.6,null,A. Conger Goodyear Fund (by exchange),Print,Prints & Illustrated Books,1955,Y,60964
Two Nudes |  One Head (Deux nus |  une tête),(190,Drypoint,15,10,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60980
Two Studies of a Nude (Deux études de nu),(190,Drypoint,14.9,10,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60998
Two Nudes |  Two Heads of Children (Deux nus |  deux têtes d'enfants),(190,Drypoint,14.9,10,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,61014
Crucifixion (After the altarpiece at Tölz) [Kreuzigung (nach dem Altarbild in Tölz)] for the portfolio Compositions (Kompositionen),(192,Drypoint,29.9,23.7,null,Given anonymously,Print,Prints & Illustrated Books,1956,Y,61018
Hillside in the Morning,7 |,Etching,27.9,21.8,null,James Thrall Soby Fund,Print,Prints & Illustrated Books,1958,Y,61045
