Large Blackboard with Shelf,1975,Oil on canvas,"50 1/2 x 7'10 1/2"" (128.4 x 240.1 cm)",Mrs. John C. Duncan Fund,Painting,Painting & Sculpture,12/7/1976,N,80038
Mural Painting,"Barcelona, October 18, 1950-January 26, 1951",Oil on canvas,"6' 2 3/4"" x 19' 5 3/4"" (188.8 x 593.8 cm)",Mrs. Simon Guggenheim Fund,Painting,Painting & Sculpture,12/10/1963,Y,80040
Plywood with Roller Marks Number 2,1974,Oil on canvas,"7' 1/4"" x 60 1/4"" (214 x 152.7 cm)",Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,12/7/1976,Y,80042
Musical Squash,1942,Oil on canvas,"15 7/8 x 26 1/8"" (40.3 x 66.4 cm)",Gift of Mrs. Kenneth Simpson,Painting,Painting & Sculpture,12/29/1942,Y,80043
Ruin by the Sea,1930,Oil on canvas,"27 x 43 3/8"" (68.4 x 110 cm)","Purchased with funds provided by Mrs. Julia Feininger, Mr. and Mrs. Richard K. Weil and Mr. and Mrs. Ralph F. Colin",Painting,Painting & Sculpture,12/6/1966,Y,80044
Blue Short Circuit,2/1/1951,Oil on canvas,"46 1/8 x 35 1/4"" (117 x 89.4 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80045
Micrography,1966,Oil on canvas,"10 1/8 x 9 3/8"" (25.6 x 23.6 cm)",Purchase,Painting,Painting & Sculpture,12/6/1966,N,80046
Double Self-Portrait,1976,Oil on canvas,"24 x 36"" (60.8 x 91.5 cm)",Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,12/7/1976,Y,80047
Hobbs' Tub Number 2,1974,Synthetic polymer paint on canvas,"42 x 60"" (106.7 x 152.4 cm)",Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,12/7/1976,N,80048
Bauhaus Stairway,1932,Oil on canvas,"63 7/8 x 45"" (162.3 x 114.3 cm)",Gift of Philip Johnson,Painting,Painting & Sculpture,12/29/1942,Y,80049
Dancing Nymphs,1914,Oil on composition board,"20 1/8 x 20 1/4"" (51 x 51.2 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80050
Nymph,1914,Oil on composition board,"20 1/8 x 19 3/4"" (51 x 50.2 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80051
White Rope,1973,"Synthetic polymer paint on canvas with metal rods, rope, and string","10' 6"" x 57 1/2"" (321.2 x 146.1 cm)",Mr. and Mrs. Walter Stein Fund,Painting,Painting & Sculpture,12/7/1976,N,80052
Pistol,1964,Felt,"82 x 49"" (208.3 x 124.4 cm)",Gift of Philip Johnson,Painting,Painting & Sculpture,6/8/1965,Y,80053
The Park,1894 (reworked in 1908),Distemper on canvas,"6' 11 1/2"" x 62 3/4"" (211.8 x 159.2 cm)",The William B. Jaffe and Evelyn A. J. Hall Collection,Painting,Painting & Sculpture,4/22/1959,Y,80056
Eddie (Sylvie's Brother) in the Desert (Variable Collage),New York 1966,Movable serigraphed paper cutouts over serigraphed cutouts pasted on painted wood panel,"35 1/4 x 50 1/2"" (89.5 x 128.1 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80057
Annette,1962,Oil on canvas,"36 3/8 x 28 7/8"" (92.3 x 73.2 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80059
"Untitled 1964, New York",1964,Oil on canvas,"8' 4 1/2"" x 6' 6 1/8"" (255.1 x 203.3 cm)",Junior Council Fund,Painting,Painting & Sculpture,6/8/1965,Y,80061
Two Women,1934,Oil on canvas,"39 1/4 x 39 3/8"" (99.7 x 100 cm)",Gift of Dr. C. M. Ramírez Corría,Painting,Painting & Sculpture,12/29/1942,Y,80063
"Composition on the Word ""Vie,"" 2",1950,Oil on canvas,"57 1/2 x 38 1/4"" (145.8 x 97.1 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,N,80064
Memory of a Voyage,1955,Oil on canvas,"63 7/8 x 51 1/4"" (162.2 x 130.2 cm)",Gift of D. and J. de Menil,Painting,Painting & Sculpture,4/22/1959,Y,80065
Angora Cat,1937-39 (dated on painting 1937),Oil on canvas,"22 1/8 x 27 1/4"" (56.1 x 69.1 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80066
Lion,1939,Oil on canvas,"28 1/4 x 40 1/4"" (71.5 x 102 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80068
Cafe Deutschland (Style War),1980,Synthetic polymer paint on canvas,"9' 2 1/4"" x 11' 6"" (280 x 350.7 cm)",Gift of Emily and Jerry Spiegel,Painting,Painting & Sculpture,12/8/1994,Y,80069
Standing Man with Stick,1959,Oil on canvas,"69 1/4 x 60 5/8"" (175.9 x 154 cm)",Gift of Joseph H. Hirshhorn,Painting,Painting & Sculpture,4/22/1959,Y,80070
Untitled,1963,"Oil, string, and canvas on wood","6' 3/8"" x 53 7/8"" (183.6 x 136.8 cm)",Purchase,Painting,Painting & Sculpture,6/8/1965,Y,80071
Inseparable Friends,1941,Oil on canvas,"60 1/8 x 40 1/8"" (152.6 x 101.9 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80072
Girl with Pigeons,1942,Oil on canvas,"30 x 40 1/8"" (76.1 x 101.7 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80074
Cityscape,1970,Oil on canvas,"6' 6 1/2"" x 6' 1/2"" (199.6 x 199.6 cm)",Fractional and promised gift of Jo Carole and Ronald S. Lauder,Painting,Painting & Sculpture,12/8/1994,Y,80075
Composition,1932,Oil on canvas,"28 1/4 x 19 3/4"" (71.8 x 50.2 cm)",Gift of Dr. Román Fresnedo Siri,Painting,Painting & Sculpture,12/29/1942,Y,80076
The Synagogue,c. 1940,Oil on canvas,"65 1/4 x 46 3/4"" (165.7 x 118.7 cm)",Acquired through the Lillie P. Bliss Bequest,Painting,Painting & Sculpture,11/4/1943,Y,80077
Parliamentary Buildings,1946,Oil on canvas,"36 1/8 x 28"" (91.7 x 71.1 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80078
Columbus Making Ripples,1993,Pleated silver-dye-bleach print (Cibachrome) on pleated canvas with steel pushpins,"Museum installation 7' 1"" x 9' 1/4"" x 1 1/2"" (216 x 275 x 2.7 cm)",Gift of Waldo Rasmussen and AT&T NEW ART/NEW VISIONS Fund,Painting,Painting & Sculpture,12/8/1994,Y,80079
Burning Bush,1959,Oil on canvas,"63 x 48"" (160 x 121.9 cm)",Larry Aldrich Foundation Fund,Painting,Painting & Sculpture,4/22/1959,Y,80081
Untitled,1964,Synthetic polymer paint on canvas,"10' 11 1/4"" x 7' 4 3/4"" (333.4 x 225.4 cm)",John G. Powers Fund,Painting,Painting & Sculpture,6/8/1965,Y,80082
Leda and the Swan,Rome 1962,"Oil, pencil, and crayon on canvas","6' 3"" x 6' 6 3/4"" (190.5 x 200 cm)",Acquired through the Lillie P. Bliss Bequest and The Sidney and Harriet Janis Collection (both by exchange),Painting,Painting & Sculpture,12/8/1994,Y,80083
"The Four Seasons: Spring, Summer, Autumn, and Winter",1993-94,"Synthetic polymer paint, oil, house paint, pencil and crayon on four canvases","Spring 10' 3 1/8"" x 6' 2 7/8"" (312.5 x 190 cm), Summer 10' 3 3/4"" x 6' 7 1/8"" (314.5 x 201 cm), Autumn 10' 3 1/2"" x 6' 2 3/4"" (313.7 x 189.9 cm), Winter 10' 3 1/4"" x 6' 2 7/8"" (313  x 190.1 cm)",Gift of the artist,Painting,Painting & Sculpture,12/8/1994,Y,80085
Taku,2/1/1961,Oil on canvas over wood,"35 7/8 x 35 3/4"" (90.9 x 90.8 cm)",Junior Council Fund,Painting,Painting & Sculpture,6/8/1965,Y,80087
Untitled,1970,Oil-based house paint and crayon on canvas,"13' 3 3/8"" x 21' 1/8"" (405 x 640.3 cm)",Acquired through the Lillie P. Bliss Bequest and The Sidney and Harriet Janis Collection (both by exchange),Painting,Painting & Sculpture,12/8/1994,Y,80088
The Cathedral at Mantes,1930,Oil on canvas,"18 1/8 x 21 1/2"" (46 x 54.6 cm)",Gift of Mr. and Mrs. Peter A. Rübel,Painting,Painting & Sculpture,12/14/1951,Y,80090
"Composition, I",1959,Oil and casein on canvas strips stretched over armature,"45 3/4 x 35 1/8"" (116.2 x 89.1 cm)",Gift of William Rubin,Painting,Painting & Sculpture,4/22/1959,Y,80091
The Campbells Are Coming,1932,Oil and gold paint on paper over composition board,"20 x 16 1/8"" (50.8 x 40.8 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,N,80092
Actor's Mask,1924,Oil on canvas mounted on board,"14 1/2 x 13 3/8"" (36.7 x 33.8 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80094
Homage to the Square: White Monument,1951,Oil on composition board,"32 x 32"" (81.3 x 81.3 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80095
The Little Presser,1943,Oil on composition board,"11 1/2 x 11 5/8"" (29.2 x 29.5 cm)",Purchase,Painting,Painting & Sculpture,11/4/1943,Y,80096
Meeting Place,1957,Oil on canvas,"56 x 44"" (142.2 x 111.7 cm)",G. David Thompson Fund,Painting,Painting & Sculpture,4/22/1959,Y,80098
In the Grass,1930,Oil on canvas,"16 5/8 x 20 3/4"" (42.1 x 52.5 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80099
Obsol,1964,Oil on canvas,"6' 8"" x 6' 2"" (203.2 x 188 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80100
Still Life D,2/1/1959,Oil on canvas,"48 1/4 x 68"" (122.3 x 172.8 cm)",Gift of Mr. and Mrs. Bernard J. Reis,Painting,Painting & Sculpture,4/22/1959,Y,80102
Blue Monochrome,1961,Dry pigment in synthetic polymer medium on cotton over plywood,"6' 4 7/8"" x 55 1/8"" (195.1 x 140 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80103
Picture with an Archer,1909,Oil on canvas,"68 7/8 x 57 3/8"" (175 x 144.6 cm)",Gift and bequest of Louise Reinhardt Smith,Painting,Painting & Sculpture,4/22/1959,Y,80104
Convergences,1976,Vinyl paint and pasted paper mounted on canvas,"53 1/4"" x 11' 8 1/4"" (135.4 x 356.3 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80106
Le Gros,1961,Oil on canvas,"41 3/8 x 52 5/8"" (105 x 133.8 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80108
Mondanite XXIV,1975,Vinyl paint on paper mounted on canvas,"approximately 25 1/4 x 36"" (64.1 x 91.3 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80110
Two Nudes,"Paris, late 1906",Oil on canvas,"59 5/8 x 36 5/8"" (151.3 x 93 cm)","Gift of G. David Thompson in honor of Alfred H. Barr, Jr.",Painting,Painting & Sculpture,4/22/1959,Y,80111
The Weeping Woman,1942,Oil on canvas,"23 5/8 x 29 5/8"" (60 x 75.2 cm)",Inter-American Fund,Painting,Painting & Sculpture,12/29/1942,Y,80114
The Blue Doll,1942,Oil on canvas,"42 7/8 x 35"" (108.9 x 88.9 cm)",James Thrall Soby Fund,Painting,Painting & Sculpture,11/4/1943,Y,80115
A Tree in Naples,1960,Oil on canvas,"6' 8 1/4"" x 70 1/8"" (203.7 x 178.1 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,7/22/1969,Y,80116
Harlequin (Self-Portrait),c. 1944,Oil and pencil on canvas,"24 x 20 1/8"" (61.2 x 51.3 cm)",Gift of Margery and Harry Kahn,Painting,Painting & Sculpture,12/11/1973,N,80117
Abode V (with Stairs and Numerous Rooms),4/1/1966,Vinyl paint on canvas,"57 3/4 x 45""  (146.7 x 114.4 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80118
Bridge,1908?,Oil on canvas,"36 1/2 x 28 5/8"" (92.7 x 72.6 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80121
Bargeman,1918,Oil on canvas,"18 1/8 x 21 7/8"" (45.8 x 55.5 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80123
The Violinist (Le Violoniste),3/1/1944,Oil on canvas,"23 3/4 x 28 3/4"" (60.4 x 73 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80124
Random Site with 5 Personages from the Sites Aléatoires series,1982,Synthetic polymer paint and pasted paper mounted on canvas,"26 1/2 x 39 1/4"" (67.4 x 99.7 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80126
Slowly Toward the North,1942,Oil on canvas,"42 x 36"" (106.7 x 91.4 cm)",Gift of Philip Johnson,Painting,Painting & Sculpture,11/4/1943,Y,80127
Gregory,1961,Lacquer and synthetic enamel on composition board,"48 1/8 x 48 1/8"" (122 x 122 cm)",Larry Aldrich Foundation Fund,Painting,Painting & Sculpture,10/7/1965,Y,80129
Building Facades,7/1/1946,Oil on canvas,"51 3/4 x 63 7/8"" (130.5 x 162.3 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80130
Synchromy in Blue,c. 1917-18,Oil on canvas,"26 1/4 x 20 1/8"" (66.4 x 51.1 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,N,80131
Head of a Girl from the Assemblages d'empreintes series,1954,Oil on canvas,"11 1/4 x 9 1/2"" (28.6 x 24.1 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80135
Window at Vers,1912,Oil on canvas,"51 1/2 x 35 1/4"" (130.8 x 89.5 cm)","Abby Aldrich Rockefeller Fund, purchased in memory of Mrs. Cornelius J. Sullivan",Painting,Painting & Sculpture,12/8/1939,Y,80136
"The Palace of Curtains, III","Le Perreux-sur-Marne, 1928-29",Oil on canvas,"32 x 45 7/8"" (81.2 x 116.4 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80137
"Solution of Continuity, 24",1964,Oil and acrylic on canvas,"63 5/8 x 51 1/8"" (161.6 x 129.8 cm)",Gift of Mr. and Mrs. David Kluger,Painting,Painting & Sculpture,12/13/1977,N,80138
Chairman of the Board,1971,Synthetic polymer paint and felt-tip pen on canvas,"7' 4 1/4"" x 16' 2 1/4"" (224.2 x 493.2 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80139
"Monastery Farm, Rhode Island",1936,Oil on rubberized cloth,"28 1/4 x 38"" (71.8 x 96.5 cm)",Abby Aldrich Rockefeller Fund,Painting,Painting & Sculpture,12/8/1939,Y,80140
"Item 34, 1964, Spiral IV",1964,Synthetic polymer paint on canvas,"67 3/4 x 67 3/4 x 4"" (172 x 172 x 10 cm)",Given anonymously,Painting,Painting & Sculpture,10/7/1965,N,80142
The Leaf of the Artichoke Is an Owl,1944,Oil on canvas,"28 x 35 7/8"" (71.1 x 91.2 cm)",Sidney and Harriet Janis Collection Fund,Painting,Painting & Sculpture,12/13/1977,Y,80143
Echo of a Scream,1937,Enamel on wood,"48 x 36"" (121.9 x 91.4 cm)",Gift of Edward M. M. Warburg,Painting,Painting & Sculpture,12/8/1939,Y,80144
Savanna,1942,Oil on canvas,"19 3/8 x 19 1/4"" (49.2 x 48.9 cm)",Inter-American Fund,Painting,Painting & Sculpture,12/29/1942,Y,80145
Tableau no. 2 / Composition no. V,1914,Oil on canvas,"21 5/8 x 33 5/8"" (54.8 x 85.3 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80146
The Mirror,1925,Oil on canvas,"51 x 39 1/4"" (129.6 x 99.6 cm)",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80147
Two Female Models in the Studio,1967,Oil on canvas,"50 1/8 x 60 1/4"" (127.3 x 153.1 cm)",Gift of Mr. and Mrs. Stephen B. Booke,Painting,Painting & Sculpture,12/31/1973,Y,80150
Bowl of Fruit,1922,Glazed stoneware,"14 1/8 x 13 1/8"" (36 x 33.4 cm)",Gift of Dr. and Mrs. Arthur Luce Klein,Painting,Painting & Sculpture,12/13/1977,Y,80151
Composition with Red and Blue,1933,Oil on canvas,"16 1/4 x 13 1/8"" (41.2 x 33.3 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80153
June Crossing,1956,Oil on canvas,"58 7/8 x 6'4 3/8"" (149.5 x 193.9 cm)",Gift of Mr. and Mrs. David Kluger,Painting,Painting & Sculpture,12/13/1977,N,80156
"""Or The Mocked Mocker""",1930,Oil on canvas,"17 x 20 5/8"" (43.2 x 52.4 cm)",Gift of J. B. Neumann,Painting,Painting & Sculpture,12/8/1939,Y,80157
"Composition in Yellow, Blue, and White, I",1937,Oil on canvas,"22 1/2 x 21 3/4"" (57.1 x 55.2cm) Frame: 28 × 27"" (71.1 × 68.6 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80158
"Composition in Red, Blue, and Yellow",1937-42,Oil on canvas,"23 3/4 x 21 7/8"" (60.3 x 55.4 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80160
Accident in the Air,1939,Oil on composition board,"19 x 23"" (48.3 x 58.4 cm)","Gift of the New York World's Fair, 1939",Painting,Painting & Sculpture,12/8/1939,Y,80161
"Glass, Guitar, and Bottle","Paris, early 1913","Oil, cut-and-pasted newspaper, charcoal, and pencil on canvas","25 3/4 x 21 1/8"" (65.4 x 53.6 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80162
The Balcony,1941,Oil on canvas,"29 x 23 1/8"" (73.7 x 58.7 cm)","Gift of Edgar Kaufmann, Jr.",Painting,Painting & Sculpture,12/29/1942,Y,80165
Painter and Model,"Paris, 1928",Oil on canvas,"51 1/8 x 64 1/4"" (129.8 x 163 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80166
