Artist,ArtistBio,ObjectID
Gunnar Aagaard Andersen,(Danish | 1919–1982),4401
James Prestini,(American | born Italy. 1908–1993),4402
Tapio Wirkkala,(Finnish | 1915–1985),4403
Alvar Aalto,(Finnish | 1898–1976),4404
Paolo Venini,(Italian | 1895–1959),4405
Alvar Aalto,(Finnish | 1898–1976),4406
Alvar Aalto,(Finnish | 1898–1976),4407
Alvar Aalto,(Finnish | 1898–1976),4408
Richard Carlson,(Australian | born 1941),4409
Mary Rodney,(American),4410
Paul Chaleff,(American | born 1947),4411
Lia Cook,(American | born 1942),4412
Morison S. Cousins | Michael Alan Cousins | John Lonczak,(American | 1934–2001) (American | born 1938) (American | born 1954),4413
Saara Hopea,(Finnish | 1925–1984),4414
Kaj Franck,(Finnish | 1911–1989),4416
Roald Steen Hansen,(Danish | born 1942),4418
Ernest C. Higgins,(American | born 1915),4419
Hans Himbert | Bengt Palmgren,(Swedish | born 1951) (Swedish | born 1944),4421
Rex A. Stevens,(American),4422
Josef Hoffmann,(Austrian | 1870–1956),4423
Rex A. Stevens,(American),4424
Masayuki Kurokawa,(Japanese | born 1937),4425
J.A. Henckels | Solingen | Germany,(est. 1731),4426
Masayuki Kurokawa,(Japanese | born 1937),4427
Kevan Laycraft | Alan Randall Best,(Canadian | born 1955) (Canadian | born 1958),4428
George Lynn,(Canadian | 1941–1983),4430
Gerrit Rietveld,(Dutch | 1888–1964),4432
The Richter & Phillips Co. | Cincinatti | OH,,4433
Lino Sabattini,(Italian | born 1925),4434
John H. Lickert,(American),4435
Lino Sabattini,(Italian | born 1925),4436
Timo Sarpaneva,(Finnish | 1926–2006),4437
Timo Sarpaneva,(Finnish | 1926–2006),4438
Nikolai Suetin,(Russian | 1897–1954),4439
Mutsumi Suzuki,(Japanese | born 1942),4441
Tony Esposito,(Canadian | born 1943),4442
Wilhelm Wagenfeld,(German | 1900–1990),4443
Michael S. Zane | Peter L. Zane,(American | born 1948) (American | born 1950),4444
Walter Zapp,(Latvian | 1905–2003),4445
Nathan George Horwitt,(American | 1898–1990),4446
Corning Glass Works,(American | est. 1851),4448
Rex A. Stevens,(American),4450
Simon Gate,(Swedish | 1883–1945),4451
David Swedlow,(American),4453
Unknown Designer,(American),4455
Russel Wright | Chase Brass & Copper Co. | Waterbury | CT,(American | 1904–1976) (American | founded 1876),4456
Metall-Arbeit Wiener Werkstätte,(Austrian),4457
Bruno Mathsson,(Swedish | 1907–1988),4458
Alvar Aalto,(Finnish | 1898–1976),4460
Alvar Aalto,(Finnish | 1898–1976),4461
Marcel Breuer,(American | born Hungary. 1902–1981),4462
Marcel Breuer,(American | born Hungary. 1902–1981),4463
Marcel Breuer,(American | born Hungary. 1902–1981),4464
Harry Mohr Weese | Benjamin Baldwin,(American | 1915–1998) (American | 1913–1993),4465
Charles Eames | Eero Saarinen | Marli Ehrman,(American | 1907–1978) (American | born Finland. 1910–1961) (American | born Germany. 1904–1982),4466
Charles Eames | Eero Saarinen | Marli Ehrman,(American | 1907–1978) (American | born Finland. 1910–1961) (American | born Germany. 1904–1982),4467
George Ohr,(American | 1857–1918),4468
Charles Eames | Eero Saarinen | Marli Ehrman,(American | 1907–1978) (American | born Finland. 1910–1961) (American | born Germany. 1904–1982),4469
George Ohr,(American | 1857–1918),4470
Charles Eames | Eero Saarinen,(American | 1907–1978) (American | born Finland. 1910–1961),4476
Charles Eames | Eero Saarinen,(American | 1907–1978) (American | born Finland. 1910–1961),4477
Charles Eames | Eero Saarinen,(American | 1907–1978) (American | born Finland. 1910–1961),4478
Charles Eames | Eero Saarinen,(American | 1907–1978) (American | born Finland. 1910–1961),4479
Charles Eames | Eero Saarinen,(American | 1907–1978) (American | born Finland. 1910–1961),4480
