Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Ferdinandsbrücke Project |  Vienna |  Austria  |  Elevation |  preliminary version,1896,Ink and cut-and-pasted painted pages on paper,48.6,168.9,null,Fractional and promised gift of Jo Carole and Ronald S. Lauder,A&D Architectural Drawing,Architecture & Design,1996,Y,2
City of Music |  National Superior Conservatory of Music and Dance |  Paris |  France |  View from interior courtyard,1987,Paint and colored pencil on print,40.6,29.8,null,Gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,3
Villa near Vienna Project |  Outside Vienna |  Austria |  Elevation,1903,Graphite |  pen |  color pencil |  ink |  and gouache on tracing paper,34.3,31.8,null,Gift of Jo Carole and Ronald S. Lauder,A&D Architectural Drawing,Architecture & Design,1997,Y,4
The Manhattan Transcripts Project |  New York |  New York  |  Introductory panel to Episode 1: The Park,1980,Photographic reproduction with colored synthetic laminate,50.8,50.8,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,5
Villa |  project |  outside Vienna |  Austria |  Exterior perspective,1903,Graphite |  color pencil |  ink |  and gouache on tracing paper,38.4,19.1,null,Gift of Jo Carole and Ronald S. Lauder,A&D Architectural Drawing,Architecture & Design,1997,Y,6
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,7
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photographs,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,8
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,9
The Manhattan Transcripts Project |  New York |  New York |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,10
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,11
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,12
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,13
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,14
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,15
The Manhattan Transcripts Project |  New York |  New York  |  Episode 1: The Park,1976,Gelatin silver photograph,35.6,45.7,null,Purchase and partial gift of the architect in honor of Lily Auchincloss,A&D Architectural Drawing,Architecture & Design,1995,Y,16
