Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
ENVIRONS AMIENS. (Field with haystacks),y be,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41241
AMIENS (PORTAIL),bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41264
CATHÉDRALE D'AMIENS,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41265
AMIENS. CLÔTURE DU CHOEUR,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41266
AMIENS. CLÔTURE DU CHOEUR,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41267
AMIENS. POURTOUR DU CHOEUR,bef,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41268
AMIENS -- PORTAIL CENTRAL,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41270
AMIENS. PORTAIL CENTRAL,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,41271
Untitled [Roofless Farmhouse |  Somme],bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,42121
LA ROCHELLE. DÉTAIL D'UNE MAISON HENRI II,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,42316
LA ROCHELLE. HÔTEL DE VILLE,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,42317
ESNANDES -- OUEST DE LA ROCHELLE. CURIEUSE ÉGLISE FORTIFIÉE XII-XIV-XV SIÈCLE. SIÈGE DE LA ROCHELLE,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,42503
LA ROCHELLE. MAISON HENRI NO. II,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,42537
ESNANDES CHARENTE INFÉRIEURE,bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,42538
AULNAY-CHATAIGNERS,y be,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,42541
Untitled (Interior |  washstand),bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,43295
TILLEULS (TRIANON),bef,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,43444
Pommier,bef,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,43537
VOITURE À GENTILLY,bef,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,43616
SAPIN (CHATOU),bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,43669
UNTITLED (TREE),bef,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,43857
Portrait of the Artist as a Young Woman,ativ,Gelatin silver print,32.6,25.7,null,Frances Keech Fund in honor of Monroe Wheeler,Photograph,Photography,1985,Y,45127
Death of a Loyalist Militiaman |  Córdoba front |  Spain,ugus,Gelatin silver print,18.1,23.8,null,Gift of Edward Steichen,Photograph,Photography,1959,N,46684
Bobby Jones Golf Swing,bef,Gelatin silver print,24.4,19.7,null,Gift of the Harold and Esther Edgerton Family Foundation,Photograph,Photography,1996,Y,49759
Cicada,bef,Gelatin silver print,20.6,26.8,null,Gift of the Harold and Esther Edgerton Family Foundation,Photograph,Photography,1996,Y,49783
Golf Swing,bef,Gelatin silver print,20.6,26.8,null,Gift of the Harold and Esther Edgerton Family Foundation,Photograph,Photography,1996,Y,49796
Otages fond noir (Hostages Black Ground),44-4,Etching |  relief printed,23.5,31.9,null,Arthur B. Stanton Fund,Print,Prints & Illustrated Books,1985,Y,59718
