Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Bronze Smoke,1978,Lithograph,63.8,47.8,null,Gift of Celeste Bartos,Print,Prints & Illustrated Books,1979,Y,60002
Sailboat,1915,Linoleum cut,18,16.5,null,Acquired through the Lillie P. Bliss Bequest,Print,Prints & Illustrated Books,1981,Y,60003
Classic Figure No. 2,196,Aquatint,44.8,37.3,null,Joanne M. Stern Fund,Print,Prints & Illustrated Books,1985,Y,60004
River of History,1984,Aquatint with watercolor additions,null,null,null,Gift of the artist,Print,Prints & Illustrated Books,1986,N,60005
Untitled |  fourth state,1966,Lithograph,null,null,null,Gift of Walter Bareiss,Print,Prints & Illustrated Books,1987,Y,60006
Aquatique II,1981,Etching and aquatint,9,8.5,null,Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1988,Y,60007
Untitled from Continuities,1988,One from a portfolio of five etchings,23.5,12.8,null,Riva Castleman Fund,Print,Prints & Illustrated Books,1989,Y,60008
Continuities,1988,Portfolio of five etchings,52,37.7,null,Riva Castleman Fund,Print,Prints & Illustrated Books,1989,Y,60009
Untitled from Continuities,1988,One from a portfolio of five etchings,23.6,15.9,null,Riva Castleman Fund,Print,Prints & Illustrated Books,1989,Y,60010
Untitled from Continuities,1988,One from a portfolio of five etchings,21.8,16.6,null,Riva Castleman Fund,Print,Prints & Illustrated Books,1989,Y,60011
Untitled from Continuities,1988,One from a portfolio of five etchings,21.7,16.3,null,Riva Castleman Fund,Print,Prints & Illustrated Books,1989,Y,60012
Untitled from Continuities,1988,One from a portfolio of five etchings,26.2,11,null,Riva Castleman Fund,Print,Prints & Illustrated Books,1989,Y,60013
Soviet/American Array V,1988,Photogravure,null,null,null,Gift of Emily Fisher Landau,Print,Prints & Illustrated Books,1991,Y,60015
Jewish Jackie,1992,Xerox,40.7,52.3,null,Purchase,Print,Prints & Illustrated Books,1993,Y,60016
SPUYTEN DUYVIL # 1,-1,Lithograph,null,null,null,Gift of Samuel Chotzinoff,Print,Prints & Illustrated Books,1935,N,60018
Desert I,1961,Etching |  aquatint |  and engraving,50.3,60.8,null,Gift of the artist,Print,Prints & Illustrated Books,1964,Y,60019
Germination No. 5,1965,Woodcut,64.8,45.3,null,Gift of the International Graphic Art Society,Print,Prints & Illustrated Books,1966,Y,60020
Disappearing (Screened),1972,Lithograph,44,60.6,null,Gift of Janet K. Ruttenberg,Print,Prints & Illustrated Books,1973,Y,60021
Portrait of Henry McBride,1917,Woodcut,null,null,null,Gift of Perls Galleries in memory of Robert Laurent,Print,Prints & Illustrated Books,1975,Y,60022
Altitudes,1978,Lithograph,56.2,57.3,null,Gift of Celeste Bartos,Print,Prints & Illustrated Books,1979,Y,60023
Marine,1916,Linoleum cut,15.7,19.4,null,Acquired through the Lillie P. Bliss Bequest,Print,Prints & Illustrated Books,1981,Y,60024
Felled Tree from the series Seven Woodcuts |  Linocuts |  Etchings,1984,Woodcut |  etching and aquatint,66.3,85.9,null,Walter Bareiss Fund,Print,Prints & Illustrated Books,1985,Y,60025
Untitled,1985,Collagraph,15.8,12.1,null,Gift of Emily Fisher Landau,Print,Prints & Illustrated Books,1986,N,60026
Untitled |  third state,1967,Drypoint and etching,25,19,null,Gift of Walter Bareiss,Print,Prints & Illustrated Books,1987,Y,60027
Aquatique IV,1982,Etching and aquatint,8.6,8.6,null,Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1988,Y,60028
Nubia,1987,Woodcut,65.4,73.9,null,Gift of the friends of Max Ross |  in memory of Adam Joseph Ross,Print,Prints & Illustrated Books,1989,Y,60029
Proclamation (Was sich ankuendigt),1989,Aquatint and drypoint,79.5,79.1,null,Miles O. Epstein |  Richard A. Epstein and Sarah C. Epstein Funds,Print,Prints & Illustrated Books,1990,Y,60030
Candle I (Kerze I),1989,Photolithograph with paint additions,88.3,88.6,null,Purchase,Print,Prints & Illustrated Books,1991,N,60031
