Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Scontro Frontale,2011,Photogravure with drypoint and aquatint,41,31.6,null,Acquired through the generosity of Mary M. and Sash A. Spencer,Print,Prints & Illustrated Books,2012,Y,155903
Original Face,2011,Aquatint and drypoint,41.4,32,null,Acquired through the generosity of Mary M. and Sash A. Spencer,Print,Prints & Illustrated Books,2012,Y,155904
Untitled,2011,Aquatint,91,68,null,Acquired through the generosity of Mary M. and Sash A. Spencer,Print,Prints & Illustrated Books,2012,Y,155905
The Memory Continues but the Clock Disappears,2011,Lithograph with rotating mirror in artist's frame,100.3,66.7,4.4,Acquired through the generosity of Mary M. and Sash A. Spencer,Print,Prints & Illustrated Books,2012,Y,155906
Outliers,2011,Offset lithograph and digital print with pastel additions,127,188,null,Acquired through the generosity of Agnes Gund and Mary M. and Sash A. Spencer,Print,Prints & Illustrated Books,2012,Y,155909
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155910
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155911
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155912
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155913
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155914
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155915
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155916
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155917
