ArtistName,ArtistBornYear,ObjectId
Otto Wagner,1841,2
Christian de Portzamparc,1944,3
Emil Hoppe,1876,4
Bernard Tschumi,1944,5
Emil Hoppe,1876,6
Bernard Tschumi,1944,7
Bernard Tschumi,1944,8
Bernard Tschumi,1944,9
Bernard Tschumi,1944,10
Bernard Tschumi,1944,11
Bernard Tschumi,1944,12
Bernard Tschumi,1944,13
Bernard Tschumi,1944,14
Bernard Tschumi,1944,15
Bernard Tschumi,1944,16
Bernard Tschumi,1944,17
Bernard Tschumi,1944,18
Bernard Tschumi,1944,19
Bernard Tschumi,1944,20
Bernard Tschumi,1944,21
Bernard Tschumi,1944,22
Bernard Tschumi,1944,23
Bernard Tschumi,1944,24
Bernard Tschumi,1944,25
Bernard Tschumi,1944,26
Bernard Tschumi,1944,27
Bernard Tschumi,1944,28
Bernard Tschumi,1944,29
Bernard Tschumi,1944,30
Bernard Tschumi,1944,31
Louis I. Kahn,1901,32
Bernard Tschumi,1944,33
Marcel Kammerer,1878,34
Bernard Tschumi,1944,35
Otto Schönthal,1878,36
Bernard Tschumi,1944,38
Otto Schönthal,1878,39
Bernard Tschumi,1944,41
Bernard Tschumi,1944,42
Bernard Tschumi,1944,43
Bernard Tschumi,1944,44
Bernard Tschumi,1944,45
Bernard Tschumi,1944,46
Bernard Tschumi,1944,47
Bernard Tschumi,1944,48
Bernard Tschumi,1944,49
Bernard Tschumi,1944,50
Bernard Tschumi,1944,52
Bernard Tschumi,1944,54
Bernard Tschumi,1944,55
Bernard Tschumi,1944,56
Bernard Tschumi,1944,57
Bernard Tschumi,1944,58
Bernard Tschumi,1944,59
Bernard Tschumi,1944,60
Bernard Tschumi,1944,61
Bernard Tschumi,1944,62
Bernard Tschumi,1944,63
Bernard Tschumi,1944,64
Bernard Tschumi,1944,65
Bernard Tschumi,1944,66
Bernard Tschumi,1944,67
Bernard Tschumi,1944,68
Hans Poelzig,1869,76
Raimund Abraham,1933,79
Peter Eisenman,1932,81
Rem Koolhaas,1944,82
Madelon Vriesendorp,1945,82
Roger C. Ferri,1949,84
Bernard Tschumi,1944,85
Roger C. Ferri,1949,87
Bernard Tschumi,1944,88
Roger C. Ferri,1949,90
Michael Graves,1934,92
Michael Graves,1934,94
Michael Graves,1934,96
Michael Graves,1934,98
Aldo Rossi,1931,100
Gianni Braghieri,1945,100
Ludwig Mies van der Rohe,1886,102
Erik Gunnar Asplund,1885,107
Erik Gunnar Asplund,1885,109
Erik Gunnar Asplund,1885,111
Erik Gunnar Asplund,1885,113
Erik Gunnar Asplund,1885,115
Erik Gunnar Asplund,1885,117
Erik Gunnar Asplund,1885,119
Erik Gunnar Asplund,1885,121
Erik Gunnar Asplund,1885,123
Erik Gunnar Asplund,1885,125
Erik Gunnar Asplund,1885,126
Erik Gunnar Asplund,1885,128
Erik Gunnar Asplund,1885,130
Erik Gunnar Asplund,1885,131
Erik Gunnar Asplund,1885,132
Erik Gunnar Asplund,1885,133
Erik Gunnar Asplund,1885,134
Erik Gunnar Asplund,1885,135
Erik Gunnar Asplund,1885,136
Erik Gunnar Asplund,1885,137
Erik Gunnar Asplund,1885,138
Erik Gunnar Asplund,1885,139
Erik Gunnar Asplund,1885,141
Erik Gunnar Asplund,1885,142
Erik Gunnar Asplund,1885,143
Erik Gunnar Asplund,1885,144
Erik Gunnar Asplund,1885,145
Erik Gunnar Asplund,1885,146
Erik Gunnar Asplund,1885,147
Erik Gunnar Asplund,1885,148
Erik Gunnar Asplund,1885,149
Erik Gunnar Asplund,1885,150
Paul Nelson,1895,151
Frantz Jourdain,1847,151
Oscar Nitzchke,1900,151
Paul Nelson,1895,152
Frantz Jourdain,1847,152
Oscar Nitzchke,1900,152
Paul Nelson,1895,153
Oscar Nitzchke,1900,153
Frantz Jourdain,1847,153
Paul Nelson,1895,154
Frantz Jourdain,1847,154
Oscar Nitzchke,1900,154
Steven Holl,1947,163
Steven Holl,1947,164
Steven Holl,1947,166
Paolo Soleri,1919,168
Steven Holl,1947,169
Steven Holl,1947,171
Steven Holl,1947,173
Steven Holl,1947,175
Steven Holl,1947,177
Steven Holl,1947,179
Steven Holl,1947,181
Steven Holl,1947,183
Steven Holl,1947,185
Steven Holl,1947,187
Paul Rudolph,1918,189
Paul Rudolph,1918,191
Paul Rudolph,1918,193
Peter Cook,1936,200
Diller + Scofidio,1979,201
Elizabeth Diller,1954,201
Ricardo Scofidio,1935,201
Zaha Hadid,1950,202
Fumihiko Maki,1928,203
Rem Koolhaas,1944,204
Zoe Zenghelis,1937,204
Elia Zenghelis,1937,204
Madelon Vriesendorp,1945,204
Frank Lloyd Wright,1867,205
Frank Lloyd Wright,1867,206
Frank Lloyd Wright,1867,207
Frank Lloyd Wright,1867,208
Mario Bellini,1935,209
Venturi and Rauch,1964,210
Robert Venturi,1925,210
John Rauch,1930,210
Venturi and Rauch,1964,211
Robert Venturi,1925,211
John Rauch,1930,211
Denise Scott Brown,1931,211
Venturi,1980,212
Rauch and Scott Brown,1925,212
Robert Venturi,1930,212
John Rauch,1931,212
Venturi,1980,213
Rauch and Scott Brown,1925,213
Robert Venturi,1930,213
John Rauch,1931,213
Venturi,1980,215
Rauch and Scott Brown,1925,215
Robert Venturi,1930,215
John Rauch,1931,215
Emilio Ambasz,1943,219
Raimund Abraham,1933,220
Tadao Ando,1941,221
Tadao Ando,1941,222
Tadao Ando,1941,223
Tadao Ando,1941,224
Arata Isozaki,1931,225
Arata Isozaki,1931,226
Arata Isozaki,1931,227
Arata Isozaki,1931,228
Arata Isozaki,1931,229
