WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2
79,Spanish-American,1,2,United States of America,1,4,22,1898,8,12,1898,-8
82,Boxer Rebellion,1,365,Russia,1,6,17,1900,8,14,1900,-8
82,Boxer Rebellion,1,740,Japan,1,6,17,1900,8,14,1900,-8
82,Boxer Rebellion,1,2,United States of America,1,6,17,1900,8,14,1900,-8
82,Boxer Rebellion,1,710,China,2,6,17,1900,8,14,1900,-8
82,Boxer Rebellion,1,200,United Kingdom,1,6,17,1900,8,14,1900,-8
82,Boxer Rebellion,1,220,France,1,6,17,1900,8,14,1900,-8
83,Sino-Russian,1,365,Russia,1,7,17,1900,10,10,1900,-8
83,Sino-Russian,1,710,China,2,7,17,1900,10,10,1900,-8
85,Russo-Japanese,1,740,Japan,1,2,8,1904,9,15,1905,-8
85,Russo-Japanese,1,365,Russia,2,2,8,1904,9,15,1905,-8
88,Third Central American,1,91,Honduras,2,5,27,1906,7,20,1906,-8
88,Third Central American,1,92,El Salvador,2,5,27,1906,7,20,1906,-8
88,Third Central American,1,90,Guatemala,1,5,27,1906,7,20,1906,-8
91,Fourth Central American,1,93,Nicaragua,1,2,19,1907,4,23,1907,-8
91,Fourth Central American,1,92,El Salvador,2,2,19,1907,4,23,1907,-8
91,Fourth Central American,1,91,Honduras,2,2,19,1907,4,23,1907,-8
94,Second Spanish-Moroccan,1,230,Spain,1,7,7,1909,3,23,1910,-8
94,Second Spanish-Moroccan,1,600,Morocco,2,7,7,1909,3,23,1910,-8
97,Italian-Turkish,1,325,Italy,1,9,29,1911,10,18,1912,-8
97,Italian-Turkish,1,640,Turkey,2,9,29,1911,10,18,1912,-8
100,First Balkan,1,640,Turkey,2,10,17,1912,4,19,1913,-8
100,First Balkan,1,350,Greece,1,10,17,1912,4,19,1913,-8
100,First Balkan,1,355,Bulgaria,1,10,17,1912,12,3,1912,2
100,First Balkan,1,345,Yugoslavia,1,10,17,1912,12,3,1912,2
103,Second Balkan,1,640,Turkey,1,7,15,1913,7,30,1913,-8
103,Second Balkan,1,345,Yugoslavia,1,6,30,1913,7,30,1913,-8
103,Second Balkan,1,350,Greece,1,6,30,1913,7,30,1913,-8
103,Second Balkan,1,355,Bulgaria,2,6,30,1913,7,30,1913,-8
103,Second Balkan,1,360,Romania,1,7,11,1913,7,30,1913,-8
106,World War I,1,345,Yugoslavia,1,7,29,1914,11,11,1918,-8
