Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Escalier |  8 rue Saint-Augustin,1913,Albumen silver print,21.9,17.8,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40037
ESCALIER -- ÉCOLE MILITAIRE,1921,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40038
ÉCOLE MILITAIRE,1921,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40039
Ambassade d'Autriche |  57 rue de Varenne,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40040
ÉCOLE MILITAIRE,1921,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40041
8 RUE ST.-AUGUSTIN,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40042
91 RUE DE TURENNE,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40043
FOLIE THOINARD. 9 RUE COQ-HÉRON,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40044
Châtaignier |  Limoges,1900,,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40045
Hôtel de Jean de Fourcy |  rue des Francs-Bourgeois 30,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40046
VERSAILLES,1906,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40047
254 RUE ST.-JACQUES. (ESCALIER),1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40048
Tuileries - Le Rhin et la / Moselle par Van cleve,1911,Albumen silver print,null,null,null,,Photograph,Photography,1968,N,40049
HÔTEL LAPORTE DE SERINCOURT. 34 RUE ST.-ANNE,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40050
ESCALIER. 12 PLACE VENDÔME,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40051
ANCIEN HÔTEL DIT DE SARTINE. 21 RUE DU CHERCHE-MIDI,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40052
14 Rue du Cherche-Midi,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40053
ESBLY. VIEILLE MAISON,1923,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40054
ANCIEN MONASTÈRE DES BÉNÉDICTINS ANGLAIS. 269 RUE ST.-JACQUES,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40055
HÔTEL DODUN. RUE RICHELIEU 21,1904,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40056
97 RUE DU BAC,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40057
GRAND TRIANON. ENTRÉE,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40058
Tuileries - Le Nil par / Bourdie (Detail) / (1e arr),1911,Albumen silver print,null,null,null,,Photograph,Photography,1968,N,40059
HÔTEL D'ECQUEVILLY. RUE DE TURENNE 60,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40060
HÔTEL DE CHANTOSME. 6 RUE DE TOURNON,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40061
La Monnaie,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40062
HÔTEL LE VAYER. 46 RUE DU BAC,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40063
HÔTEL DE CHIVERNY. 11 RUE ST.-FLORENTIN,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40064
