Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Tailpiece (folio 38 verso) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in black,0.7,23.7,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20001
Wrapper front from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in black,30.3,22,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20002
Variant of plate from folio 8 (supplementary suite |  plate 1) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,29.2,47.3,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20003
Variant of headpiece and tailpiece from folios 9 and 14 verso (supplementary suite |  plate 2) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,29.8,46.7,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20004
Variant of in-text plates from folios 9 verso and 14 (supplementary suite |  plate 3) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,29.4,44.2,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20005
Variant of in-text plate from folio 12 (supplementary suite |  plate 4) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,28.5,46.3,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20006
Variant of headpiece and tailpiece from folios 15 and 20 verso (supplementary suite |  plate 5) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,29.5,47.3,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20007
Variant of in-text plates from folios 15 verso and 20 (supplementary suite |  plate 6) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,29.5,44,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20008
Variant of in-text plate from folio 18 (supplementary suite |  plate 7) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,29.7,47.3,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20009
Variant of in-text plate and plate from folios 21 and 26 verso (supplementary suite |  plate 8) from LE RÊVE DE L'AMMONITE,1972,Lithograph |  printed in color,30.7,48.9,null,Gift of the artist,Illustrated Book,Prints & Illustrated Books,1978,N,20010
