Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Shrimp Fishermen,1937,Oil on canvas,54,80.6,null,Gift of James Thrall Soby,Painting,Painting & Sculpture,1943,Y,80002
Composition,1956,Oil on burlap,96.7,130.2,null,Gift of M. Knoedler & Company,Painting,Painting & Sculpture,1956,Y,80006
A-101,1964,Synthetic polmer paint on canvas,132.1,132.1,null,Larry Aldrich Foundation Fund,Painting,Painting & Sculpture,1964,Y,80007
Maternity,1892,Oil on canvas,95.9,116.2,null,Given anonymously,Painting,Painting & Sculpture,1942,Y,80008
Dynamism of a Soccer Player,1913,Oil on canvas,193.2,201,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80009
Portrait of Mme Zamaron,1922,Oil on canvas,81.5,65.6,null,Gift of Mr. and Mrs. Maxime L. Hermanos,Painting,Painting & Sculpture,1964,Y,80011
Nude and Spectral Still Life,1939,Oil on canvas,91.7,72.6,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80012
Lumia Suite |  Op. 158,1963,Lumia composition (projected light on translucent screen),182.8,243.2,null,Commissioned by the Museum through the Mrs. Simon Guggenheim Fund,Painting,Painting & Sculpture,1964,N,80014
Talisman,1943,Tallow on wood,15.9,27.4,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80015
Study for Luxe |  calme et volupté,1904,Oil on canvas,32.7,40.6,null,Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,1998,Y,80016
The New Forest,1939,Oil on canvas,63.5,76.5,null,Gift of the American Academy and National Institute of Arts and Letters Fund |  through the American British Art Center,Painting,Painting & Sculpture,1942,Y,80019
Illumined Pleasures,1929,Oil and collage on composition board,23.8,34.7,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80021
Setting Sun. Sardine Fishing. Adagio. Opus 221 from the series The Sea |  The Boats |  Concarneau,1891,Oil on canvas,65,81,null,Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,1998,Y,80023
Turning Road at Montgeroult,1898,Oil on canvas,81.3,65.7,null,Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,1998,Y,80025
Self Portrait (Yo),1901,Oil on cardboard mounted on wood,51.4,31.8,null,Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,1998,Y,80026
Exit from the Great Accolade,1963,Oil on canvas,63.3,62.9,null,Gift of Cordier & Ekstrom |  Inc.,Painting,Painting & Sculpture,1963,Y,80027
Simultaneous Counter-Composition,1929,Oil on canvas,50.1,49.8,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80028
Landscape with Figure,1963,Oil on canvas,106.5,126.9,null,Gift of G. David Thompson,Painting,Painting & Sculpture,1963,Y,80030
Flag Day,1935,Oil on canvas,31.1,98,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80031
Figure of Piety,1944,Oil on canvas,146.7,97.2,null,Gift of Mr. and Mrs. Charles Zadok,Painting,Painting & Sculpture,1963,Y,80033
Jaffrey,1976,Oil on canvas,212.8,187.3,null,Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,1976,N,80035
Large Blackboard with Shelf,1975,Oil on canvas,128.4,240.1,null,Mrs. John C. Duncan Fund,Painting,Painting & Sculpture,1976,N,80038
Plywood with Roller Marks Number 2,1974,Oil on canvas,214,152.7,null,Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,1976,Y,80042
Musical Squash,1942,Oil on canvas,40.3,66.4,null,Gift of Mrs. Kenneth Simpson,Painting,Painting & Sculpture,1942,Y,80043
Ruin by the Sea,1930,Oil on canvas,68.4,110,null,Purchased with funds provided by Mrs. Julia Feininger |  Mr. and Mrs. Richard K. Weil and Mr. and Mrs. Ralph F. Colin,Painting,Painting & Sculpture,1966,Y,80044
Micrography,1966,Oil on canvas,25.6,23.6,null,Purchase,Painting,Painting & Sculpture,1966,N,80046
Double Self-Portrait,1976,Oil on canvas,60.8,91.5,null,Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,1976,Y,80047
Hobbs' Tub Number 2,1974,Synthetic polymer paint on canvas,106.7,152.4,null,Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,1976,N,80048
Bauhaus Stairway,1932,Oil on canvas,162.3,114.3,null,Gift of Philip Johnson,Painting,Painting & Sculpture,1942,Y,80049
Dancing Nymphs,1914,Oil on composition board,51,51.2,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80050
Nymph,1914,Oil on composition board,51,50.2,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80051
White Rope,1973,Synthetic polymer paint on canvas with metal rods |  rope |  and string,321.2,146.1,null,Mr. and Mrs. Walter Stein Fund,Painting,Painting & Sculpture,1976,N,80052
Pistol,1964,Felt,208.3,124.4,null,Gift of Philip Johnson,Painting,Painting & Sculpture,1965,Y,80053
